pmcid,pmid,license,abstract
PMC9807679,36605337,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Traumatic abdominal intercostal hernias (AIHs) are an extremely rare surgical encounter, with amorphous literature. A case report of recurrent AIHs, evident only at surgery, and its management is presented. The inadequacy of experience and data translates to frequent missed diagnosis and suboptimal surgical management with high recurrence rates."
PMC9577268,36267520,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","We report a rare case of congenital pulmonary airway malformation (CPAM) in a middle-aged female patient with bilateral involvement. In view of its presentation in adulthood, it presents a rare picture of a disease often diagnosed in early childhood. Until now, 65 cases of this disease have been reported in adults, including 3 cases with bilateral involvement. A classical radiological picture of CPAM can often be confused with bronchiectasis or pulmonary sequestration. A definite treatment with surgical resection poses a challenge in bilateral involvement. We highlight a rare case with its challenges in diagnosis and management. A review of literature of cases of CPAM with bilateral involvement is conducted in an effort to better understand this entity in adulthood."
PMC9577241,36267518,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Organising pneumonia can be idiopathic or as a result of other inciting factors such as drugs. Phenytoin has been implicated in significant side effects predominantly involving extrapulmonary sites. Pulmonary side effects are reported less frequently. Hereby, we report a first case of phenytoin-induced organising pneumonia from India and evidence of significant improvement after stopping the drug."
PMC9577265,36267514,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Benign subcutaneous emphysema of the upper limb is extremely uncommon. Patients with this condition that involves the limbs usually present with local symptoms, and they are systematically well. We report a case of 18-year-old male presented after a minor cut wound in the forearm with diffuse subcutaneous emphysema. The patient was treated with hyperbaric oxygen therapy after wound exploration. Recovery was uneventful. Infectious etiology by gas-forming organisms should be ruled out before considering other causes."
PMC9431980,36238869,Copyrights © 2021 The Korean Society of Radiology.,"Hypertrophic osteoarthropathy (HOA) is a syndrome characterized by digital clubbing, periosteal bone formation, and synovial effusions. Secondary HOA is associated with intrathoracic malignancy in most cases; however, in rare cases, HOA can be caused by extrathoracic conditions. We report early ultrasound, computed tomography, magnetic resonance imaging, and bone scintigraphy findings of HOA in a patient with breast cancer. Its ambiguous clinical and imaging findings that mimicked malignant conditions are particularly interesting and informative. 비대성 골관절증은 곤봉지, 근막골형성 및 윤활막 삼출액을 특징으로 하는 증후군이다. 이차성 비대성 골관절증은 대부분의 경우 흉부 내 악성 종양과 연관이 있으나, 드물게 흉강 외 악성 종양에 의해 발생할 수 있다. 이에 우리는 유방암의 과거력이 있는 환자에서 발생한 비대성 골관절증의 초음파, 전산화단층촬영, 자기공명영상 및 뼈 신티그래피의 초기 영상의학적 소견에 대해 서술하고자 한다. 악성 종양으로 오인된 본 증례의 모호한 임상 및 영상 소견은 독자에게 흥미롭고 유익할 것으로 생각된다."
PMC9485743,36147439,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","The diagnosis of secondary hemophagocytic lymphohistiocytosis (HLH) in the setting of dengue fever is usually challenging but should be kept in mind in patients with persistent fever, pancytopenia, and multiorgan dysfunction. We report a case of severe dengue who had prolonged fever with multiorgan involvement, laboratory features fulfilling the diagnostic criteria of HLH, and had a prompt response with high-dose corticosteroids. Physicians should be aware of this rare clinical syndrome and its variable clinical presentations so that fatal outcomes can be prevented with prompt and appropriate treatment."
PMC9485774,36147436,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.",We report a patient with Von Hippel-Lindau disease who presented with an intradural extramedullary hemangioblastoma as a primary manifestation.
PMC9485763,36147435,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Better diagnostic and treatment modalities for malignancies occurring in childhood and young age have increased the overall survival of the affected young girls and boys, but this has come at a cost of developing premature ovarian failure in girls and azoospermia in boys because of the gonadotoxicity of chemotherapy and radiotherapy. Thus, young girls and women of reproductive age who are at risk of ovarian failure due to cancer treatment must be mandatorily offered fertility preservation in any form such as cryopreservation of mature metaphase II oocytes after ovarian stimulation with gonadotropins and oocyte recovery and cryopreservation of embryos if the young female has a partner. However, these modalities may require the postponement of chemotherapy. Thus, in such instances, cryopreservation of ovarian tissue remains the only option. Herein, we report a case of a nulligravid young female patient who had stage IV Hodgkin's lymphoma and had to be taken up for immediate fertility preservation owing to the advanced stage of the disease. Therefore, cryopreservation of ovarian tissue was performed. The uniqueness of the case is that after remission of the disease was achieved with chemotherapy, transplantation of the ovarian tissue was carried out which was not successful, but the desire for motherhood prompted to carry out an ovulation induction in the remnant native ovary with a severely compromised ovarian reserve, and she conceived."
PMC9485756,36147425,© 2019 Armed Forces Medical Services (AFMS).,"Acanthosis Nigricans is considered to be a skin marker of insulin resistance and atherosclerosis. It is rarely reported in cases of insulinoma where there is marked hyperinsulinaemia. We report two cases of insulinoma with acanthosis nigricans which regressed, concomitant with significant weight loss and reduction in blood pressure following surgical resection. This strengthens the hypothesis that hyperinsulinaemia is responsible for Acanthosis nigricans and atherosclerotic risk factors."
PMC9485752,36147422,"© 2019 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Leiomyomas are the most common benign smooth muscle tumors of the uterus. The incidence during pregnancy ranges between 1.6 to 10%. The management of fibroids encountered during caesarean section poses a therapeutic dilemma. We present a case of giant anterior wall leiomyoma complicating term pregnancy which posed a great surgical challenge. We didn't go for myomectomy in the same setting because the patient was primigravida and leiomyoma occupied complete anterior wall of the uterus, an attempt of myomectomy could result in profuse uncontrollable bleeding."
PMC9485747,36147421,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","A bezoar is a mass of indigestible foreign material found in the gastrointestinal tract, usually in the stomach. Trichobezoars are the second most common bezoars which are usually found in young psychiatric patients. A 15-year-old female patient presented with signs of intestinal obstruction and acute abdomen. The preoperative investigations revealed a perforated appendix, and an exploratory laparotomy was performed. Intraoperative findings showed presence of a mass of hair in the stomach along with a long tail extending into the small intestine. Postoperatively, the patient's condition worsened and she died because of complications of perforation peritonitis on day 3. Early diagnosis of Rapunzel syndrome can help in making early interventions. The prognosis of incidental detection of this condition depends on the accompanying cause."
PMC9485739,36147420,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","An infant presented with recurrent episodes of encephalopathy, responding to nonspecific management of sepsis. High index of suspicion helped uncover underlying error of metabolism."
PMC9485740,36147416,"© 2017 Published by Elsevier B.V. on behalf of Director General, Armed Forces Medical Services.","Being unique is good, but not so for conjoined twins. Cephalothoracopagus is a rare type of conjoined twins, which is a rare monozygotic twinning resulting in imperfect fusion of the head, chest and upper abdomen. These twins have separated limbs and pelvis. The incidence of conjoined twins is 1 per 50,000 to 1 per 200,000 births. The cephalothoracopagus however is very rare variant seen in 1 in 3 million births. In literature approximately 200 cases have been reported till now. The cephalothoracopagus janiceps has two types: disymmetros and asymmetros. We present a case of cephalothoracopagus janiceps disymmetros in a 22-year-old gravida at 19 weeks gestation."
PMC9485750,36147415,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","A 9-year-old male patient presented with recurrent episodes of corneal ulcers in both eyes since the age of 2 years. The patient had profound bilateral hearing loss and multiple left-sided preauricular skin tags. He was diagnosed with neurotropic keratitis with bilateral corneal anesthesia in both eyes and on further work-up was diagnosed to have Goldenhar Syndrome with features of left-sided facial skeletal hypoplasia and bilateral auditory nerve atresia. The patient was managed by multiple specialities with standard of care medications, therapies, and procedures and is presently thriving. Goldenhar syndrome is a rare congenital disorder which involves ocular, auricular, and cranial nerves along with facial and vertebral anomalies. The insufficient knowledge of its pathogenesis and variable clinical presentations present a challenge in timely diagnosis and management of these cases. The involvement is generally unilateral and unilateral skeletal asymmetry with bilateral cranial nerve involvement is a rare event. The wide variation in clinical presentation and under diagnosis of these cases in India mandates a better understanding of this entity among medical professionals to facilitate early diagnosis and favorable clinical outcomes."
PMC9485778,36147413,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","The persistent left superior vena cava (LSVC) is a common anomaly of congenital heart disease. The presence of LSVC is commonly associated with other congenital cardiac anomalies such as atrial septal defect, tetralogy of fallot, aortic coarctation, ventricular septal defect and very rarely it occurs as an isolated finding. During a routine dissection for undergraduate students, a persistent LSVC along with variation in anterior cardiac vein and right septal pouch (RSP) was observed in heart of an approximately 48-year-old male cadaver. The persistent LSVC was draining into the right atrium via coronary sinus. The persistent LSVC is usually insignificant haemodynamically as commonly it drains into right atrium via coronary sinus, but incidental finding of LSVC is important to surgeons, interventional nephrologists and radiologists before placement of central venous access device. The insertion of central venous catheter via left internal jugular vein is difficult in presence of persistent LSVC. The right superior vena cava was normal. An anterior cardiac vein joined with the right marginal vein to form a common vein. The common vein opened into the right atrium. We also observed a RSP attached to the limbus fossa ovalis inferiorly which is a kangaroo pouch-like structure. A septal pouch is potential site predispose to thrombus formation and is more common on left side. In this case report we discuss embryology, clinical significance and review of literature related to persistent LSVC, anterior cardiac vein and SP."
PMC9485769,36147409,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Gallbladder (GB) Small Cell Carcinoma (SCC) is an uncommon entity with very poor prognosis. There is a paucity of literature regarding its natural history and management, with only 73 prior cases reported in the world literature. In this case report, we present three cases of SCC of the GB with varied presentations, clinical course, management, and outcomes along with a brief review of the available literature on this subject."
PMC9485776,36147407,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","A 52-year-old women underwent penetrating keratoplasty for total corneal opacity after healed microbial keratitis with an uneventful postoperative period until six months when she developed gross diminution of vision. During examination, she was detected to have a membrane in the anterior chamber, creating a double anterior chamber with a total cataract. The graft was clear, and sutures were intact. Anterior segment optical coherence tomography (OCT) showed the membrane in the anterior chamber crossing the graft host junction, suggesting this membrane to be retained host descemet membrane. This was confirmed on histopathological examination. Double rhexis (descemetorhexis and capsulorhexis) was performed with cataract removal and intraocular lens (IOL) implantation, and patient had good visual recovery postoperatively."
PMC9485755,36147405,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Pheochromocytoma, is a rare neuroendocrine tumor, which usually presents as hypertension. We report a young male patient, who presented with intracerebral hemorrhage and intractable hypertension. On further evaluation, for uncontrolled secondary hypertension, he was diagnosed to have right adrenal pheochromocytoma. After hemodynamic stabilization, laparoscopic adrenelectomy was performed. Pheochromocytoma crisis presenting as intracerebral hemorrhage and cardiomyopathy is an uncommon phenomena. Even though it is a crisis, it is not a surgical emergency. Proper preoperative hemodynamic stabilization is essential before surgery is performed. An experienced anesthetist, to manage intraoperative fallacies, is warranted. Postoperatively, they must be on lifelong follow-up to watch for recurrence."
PMC9485761,36147404,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","A 40-year-old male patient reported to medical outpatient department with bilateral pedal edema of 15 days duration which was progressive, bilaterally symmetrical, pitting and with minimal pain and redness. Examination revealed pallor and bilateral pitting pedal edema with mild tenderness. Investigations revealed dimorphic anemia with reduced vitamin B12 levels. All other biochemical and radiological including radiograph of the chest, ultrasonography of abdomen, color doppler of the both lower limbs, and two dimensional echocardiography were normal. For the next one month, the patient showed significant improvement and was discharged. Fifteen days later, the patient was again readmitted with progressively worsening breathlessness with orthopnea and increasing pedal edema of two days duration. Clinically and radiologically, patient had features of congestive cardiac failure which was corroborated with markedly raised levels of NT pro brain natriuretic peptide. He also had other organ involvement with raised serum creatinine (1.9 mg/dl) and elevated transaminases of >300 IU/L. Patient was managed with high flow oxygen, ventilatory support, intravenous loop diuretics, low-dose angiotensin-converting enzyme inhibitors, and supportive care. The next day, patient's son and wife also reported with bilateral pedal edema and breathlessness. Based on this history, the diagnosis of epidemic dropsy was suspected. Mustard oil from their kitchen tested positive for nitric oxide test which was later confirmed at Public Health Laboratory. The index case showed progressive downhill course and died after 3 days. Both son and wife recovered over the next few months."
PMC9485753,36147403,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Paragonimiasis is a crustacean-borne parasitic zoonosis caused by lung fluke or Paragonimus. Several endemic foci of paragonimiasis have been discovered in Northeastern India. Chronic pulmonary infection with Paragonimus is characterized by hemoptysis, which is usually mistaken for Tuberculosis (TB). Paragonimiasis is acquired by eating raw, undercooked, or pickled crabs or crayfish containing encysted metacercariae of Paragonimus. Infection can usually be confirmed by finding Paragonimus eggs in sputum or bronchoalveolar lavage. We present a rare case of paragonimiasis masquerading as hypereosinophilia, asthma, and intracerebral hemorrhage for the last three years. Paragonimiasis is a rare cause of hemoptysis outside endemic regions. A strong index of suspicion is required to diagnose paragonimiasis outside the endemic areas. Diagnosis is usually delayed because of similarity of presentation to TB. Our patient was symptomatic with hemoptysis for three years. He gave history of eating raw crayfish and crabs while on leave to his native village in Nagaland. Diagnosis was confirmed on microscopy by detection of Paragonimus ova in sputum and bronchoalveolar lavage specimens. Symptoms resolved on treatment with praziquantel (25 mg/kg TDS for three days). Patient became symptom-free after a week of treatment."
PMC9485742,36147390,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Neuromyelitis optica spectrum disorders (NMOSDs) are rare autoimmune-mediated chronic inflammatory disorders involving the central nervous system. The concept of NMOSDs has widened up recently. Its diagnostic criteria have broadened the knowledge of this particular disease including the atypical cases where antiaquaporin-4 antibody is negative and anti-myelin oligodendrocyte glycoprotein (MOG) antibody is positive. Myelin oligodendrocyte glycoprotein is a protein expressed on the outer surface of myelin sheath and oligodendrocytes of the central nervous system. The detection of anti-MOG-Ab is emerging evidence, and thus, research on the role of this antibody in such seronegative cases is still underway. Early diagnosis and adequate therapy is essential in such cases. Here, we report an eight-year-old girl who was diagnosed with NMOSDs and found to have anti-MOG antibodies in place of AQP-4 antibodies."
PMC9485746,36147388,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Shulman's disease (eosinophilic fasciitis) is a very rare autoimmune disorder with an unknown etiopathogenesis. During the initial period of disease, it usually causes limb and trunk edema followed by collagenous thickening of the subcutaneous fascia. Eosinophilia is a predominant laboratory finding during the initial phase of the disease and less prominent in the later phases. Patients may also present with arthritis, myositis, peripheral neuropathy, and rarely pleuropericarditis. Here, we are reporting a case of eosinophilic fasciitis presenting with vague constitutional symptoms, fever, and peripheral blood eosinophilia followed by rapidly evolving skin tightening with joint contractures and muscle stiffness, which misled the treating team toward Scleroderma and its overlap syndromes. The diagnosis was finally clinched by a full-thickness skin biopsy along with underlying fascia and muscle tissue from an effected area, with a gratifying treatment response to standard immune suppression."
PMC9485741,36147386,"© 2020 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Superior mesenteric artery (SMA) passes over the third part of duodenum and can cause its obstruction when the aorto-mesenteric angle is hyper acute. Although the condition is rare, the diagnosis can be made using radiography and the treatment consists of division of ligament of Treitz and duodenojejunostomy. We present a case of SMA syndrome in an elderly lady, who was managed successfully with surgery."
PMC9277739,35845225,© The Author(s) 2020.,"We present the case of a healthy nulliparous woman who presented with persistent fever, proteinuria and elevated transaminases at 33 weeks' gestation. Following initial treatment for suspected chorioamnionitis and potential pre-eclampsia, she had a caesarean section delivering a healthy male infant. However, on her third post-operative day, she developed neurological symptoms and accompanying severe sepsis, necessitating inotropic support and transfer to a higher level of care. A comprehensive work-up revealed herpes simplex Virus-2 (HSV-2) in serum and cerebrospinal fluid. Abdominal imaging was suggestive of accompanying hepatitis with micro-abscesses. This lady recovered well following intravenous acyclovir for 14 days. Her infant was not affected and was discharged home with his mother. Herpes simplex encephalitis and hepatitis associated with HSV-2 have been described three times previously in pregnancy. We delineate the diagnostic challenges that rare conditions such as this pose and emphasise the importance of multi-disciplinary care in managing complicated medical conditions in pregnancy."
PMC9192843,35712416,© The Association of Oral and Maxillofacial Surgeons of India 2020.,"This article reports a case of glandular odontogenic cyst in a 70-year-old male and discusses the clinical, radiological and histopathological features. The present case shows treatment of GOC which effected the body of mandible with infiltration into submandibular gland."
PMC9192876,35712415,© The Association of Oral and Maxillofacial Surgeons of India 2020.,"This article reports a unique case of superolateral dislocation having a posterior component also, causing severe mandibular retrognathia (bird face deformity) and airway compression (asphyxia). Contemporary literature was also reviewed extensively, and it was found that no such type of case has been reported until date. The article also reviews etiology, causative mechanism of injury, clinical features, diagnosis and treatment planning of superolateral dislocations."
PMC9192863,35712414,© The Association of Oral and Maxillofacial Surgeons of India 2020.,"This study highlights the management of a grossly depressed frontal bone fracture with obvious deformity in a paediatric patient as facial fracture management is frequently intricate and challenging, particularly within the paediatric population as compared to adult. Paediatric fractures have a greater capacity to remodel, but the paediatric brain and craniofacial skeleton are still developing which puts the children at risk for unique complications, such as growing skull fractures."
PMC9192849,35712413,"© The Association of Oral and Maxillofacial Surgeons of India 2020, corrected publication 2020.","Eagle's syndrome was first described with all signs and symptoms by W. W. Eagle in the year 1949. It was characterized by abnormal ossification of styloid process leading to either morphological increase in the length of the styloid process itself or abnormal calcification of the stylohyoid ligament. It has been reported in patients of fourth to sixth decade. The surgical management of removal of the elongated styloid was first performed in 1842 even before Eagle's syndrome was completely understood. The establishment of the diagnosis is a challenge in itself as we need to differentiate it from the neuralgias such as glossopharyngeal neuralgia and superior laryngeal neuralgias. Furthermore, the decision of whether to operate or not is another dilemma in itself. We report a case of a 19-year-old girl with classic Eagle's syndrome along with the transcervical surgical management of the same."
PMC9192915,35712408,© The Association of Oral and Maxillofacial Surgeons of India 2020.,"Sarcomas are malignancies arising from mesenchymal (nonepithelial) tissue and are broadly classified into sarcomas of soft tissue and bone. Soft tissue sarcomas of the head and neck are rare; they comprise < 1% of head and neck cancers and < 10% of all soft tissue sarcomas (Chang et al. in Otolaryngol Head Neck Surg 151:976-983, 2014). There have been few large series, and most have included embryonal rhabdomyosarcomas which are different from other sarcomas and are both radio- and chemosensitive (Eelesl et al. in Br J Cancer 68:201-207, 1993). Malignant soft tissue tumours differ from benign ones in that they are rapidly growing, and invade adjacent tissues and vital structures, and distant metastases through haematogenous or lymphatic routes (Sinha in Cancer Ther Oncol Int J 10(3):1-3, 2018). Benign tumours are well encapsulated and do not infiltrate the adjacent structures both clinically and radiographically. In the following case report, a male patient represented with a soft tissue movable swelling in left cheek; though it shows clinical and radiographic characteristics of benign soft tissue lesion, indeed histopathological presentation was suggestive of undifferentiated pleomorphic sarcoma. This gives us insight into how a malignant lesion can mimic benign lesion and subsequent changes in treatment and follow-up strategy."
PMC9118945,35602533,Copyright: © 2020 Indian Society of Periodontology.,"The purpose of this case series report was to describe the subepithelial connective tissue pedicled palatal flap technique, its indications, and its efficacy in closure of alveolar ridge reconstruction. The present case series consisted of all 11 consecutive subjects who underwent a ridge augmentation with biomaterials or with bone grafts. Furthermore, in other cases were placed immediate or delayed implants. All cases were closed with a subepithelial connective tissue pedicled palatal flap reconstruction in our private dental clinic between 2014 and 2020. The main advantages of this flap are that the donor site remains primarily covered, the soft tissue volume at the recipient site is increased, and there is good integration of the graft because the blood supply of the flap comes directly from the base of the pedicle. All cases exhibited an increase in soft tissue height and width after 6 months and primary closure was successful. This case series suggests that the subepithelial connective tissue pedicled palatal flap may be useful for moderate vertical and horizontal augmentation in the recipient site."
PMC9075557,35527759,Copyright: © 2020 Annals of Pediatric Cardiology.,Left ventricular noncompaction (LVNC) is a rare phenotype of dilated cardiomyopathy. We report a child with primary systemic carnitine deficiency having associated LVNC.
PMC9023546,35463556,"© 2022 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Primary cutaneous aspergillosis is an uncommon opportunistic infection, generally seen in immunocompromised individuals. However, many atypical presentations have been reported recently particularly with the increased domain of immunosuppression. Sporotrichoid pattern of aspergillosis where it invades deep lymphatics have rarely been reported and never in immunocompetent individuals previously. We hereby report a case of a 29 years old immunocompetent individual with no comorbidities who presented with multiple painful erythematous papules and nodules over the left upper limb in a sporotrichoid pattern. Microscopy revealed branched septate hyphae and culture on Sabouraud dextrose agar grew powdery greenish colonies which showed hyaline branched septate hyphae with brush-like conidiophores and globose conidia in chains. Histopathology from one of the nodules was consistent with deep fungal infection. A diagnosis of Aspergillus chivalieri was made based on 18S rRNA sequencing of the isolate. The patient showed a satisfactory response to oral Itraconazole over 12 weeks."
PMC9023549,35463539,"© 2022 Director General, Armed Forces Medical Services. Published by Elsevier, a division of RELX India Pvt. Ltd.","Parasitic infections of the intestine are a major health problem, which is found more prevalent in developing countries such as India. They are one of the important causes of morbidity and mortality among people all over the world. Acute amoebic appendicitis is a rare entity. We came across a case of acute appendicitis in a young pregnant woman, which revealed colonies of Entamoeba histolytica trophozoites in the mucosal epithelium and submucosal layer of the appendix with marked evidence of acute appendicitis. This report highlights acute appendicitis of amoebic origin and emphasises the importance of thorough examination of the appendix at various levels during histopathology and about the combined treatment of appendicectomy combined with antimicrobials as the treatment of choice. Appendicectomy removes the focus of infection, and antimicrobials reduce the incidence of septic complications."
